Fecha_registro,Documento,Id_Vendedor,Id_Producto,Id_Empresa,Cantidad,%_Descuento,Precio_unitario,Costo_Unitario
2023-01-08,C-44959,5,261,16,30,0,20.51,15.2
2023-01-08,C-44959,5,1892,16,3,0,7.29,6.75
2023-01-08,C-44959,5,2205,16,18,0,29.53,23.68
2023-01-08,C-44960,5,13,16,20,0,51.54,41.23
2023-01-08,C-44960,5,1524,16,100,0,8.87,5.95
2023-01-08,C-44960,5,2205,16,24,0,29.53,23.5
2023-01-08,C-44961,5,110,16,1,0,188.39,153.94
2023-01-08,C-44961,5,240,16,25,0,7.87,5.82
2023-01-08,C-44961,5,1892,16,10,0,9.61,7.69
2023-01-08,C-44964,20,1960,9,8,0.15,16.63,15.65
2023-01-08,C-44964,20,2121,9,4,0.07,23.25,23.05
2023-01-08,C-44964,20,2340,9,2,0.07,97.65,91.15
2023-01-08,C-44964,20,5125,9,1,0.07,60.65,53.2
2023-01-08,C-44964,20,5303,9,8,0.07,34.93,27.94
2023-01-08,C-44966,5,1437,16,100,0,65.4,55.29
2023-01-08,C-44967,21,2688,11,500,0,0.41,0.3
2023-01-08,C-44967,21,2688,11,1000,0,0.34,0.25
2023-01-08,C-44967,21,2688,11,30,0,44.78,33.17
2023-01-08,C-44967,5,110,16,4,0,188.39,170.19
2023-01-08,C-44967,5,1892,16,2,0,7.29,6.28
2023-01-08,C-44968,5,2688,16,20,0,8.06,5.97
2023-01-08,C-44975,3,2453,31,7,0,86.47,77.82
2023-01-08,C-44975,3,4548,31,1,0,368.15,356.73
2023-01-08,C-44980,2,1757,23,4,0.1,37.67,33.06
2023-01-08,C-44982,5,672,16,5,0,17.63,12.22
2023-01-08,C-44982,5,770,16,3,0,125.74,100.59
2023-01-08,C-44982,5,1892,16,10,0,7.29,7.21
2023-01-08,C-44982,5,2205,16,4,0,29.53,23.5
2023-01-08,C-44985,5,2688,46,2,0,651.44,482.55
2023-01-08,C-44985,5,2688,46,1,0,4605.34,3411.36
2023-01-08,C-44985,5,2688,46,1200,0,0.58,0.43
2023-01-08,C-44985,5,2688,46,2800,0,0.58,0.43
2023-01-08,C-44985,5,2688,46,1,0,234.81,173.93
2023-01-08,C-44985,5,2688,46,300,0,3.42,2.53
2023-01-08,C-44985,5,2688,46,500,0,2.71,2.01
2023-01-08,C-44985,5,2688,46,200,0,7.8,5.78
2023-01-08,C-44985,5,2688,46,100,0,27.13,20.1
2023-01-08,C-44985,5,2688,46,1,0,47602.84,35261.36
2023-01-08,C-44985,5,4200,46,1,0,129.8,72.99
2023-01-08,B-44985,9,3687,27,1,0.07,4615.88,3357.79
2023-01-08,B-44985,9,3689,27,1,0.07,971.3,637.63
2023-01-08,B-44985,9,3690,27,1,0.07,656.28,613.64
2023-01-08,C-44985,2,13,23,2,0.1,58.61,46.89
2023-01-08,C-44985,2,659,23,2,0.1,46.41,37.13
2023-01-08,C-44985,2,1743,23,2,0.1,144.08,126.5
2023-01-08,C-44985,2,1751,23,100,0.1,11.25,8.54
2023-01-08,C-44985,2,1757,23,10,0.1,37.67,33.23
2023-01-08,C-44985,2,1765,23,10,0.1,4.25,4.21
2023-01-08,C-44985,2,1768,23,100,0,3.06,2.45
2023-01-08,C-44985,2,1772,23,300,0.1,1.3,0.9
2023-01-08,C-44985,2,1773,23,300,0.1,1.3,0.72
2023-01-08,C-44985,2,1774,23,300,0.1,1.3,1.01
2023-01-08,C-44985,2,1775,23,300,0.1,1.3,0.42
2023-01-08,C-44985,2,1776,23,300,0.1,1.3,0.86
2023-01-08,C-44985,2,1777,23,300,0.1,1.3,0.36
2023-01-08,C-44985,2,1778,23,300,0.1,1.3,0.43
2023-01-08,C-44985,2,1779,23,300,0.1,1.3,0.45
2023-01-08,C-44985,2,1780,23,300,0.1,1.3,0.3
2023-01-08,C-44985,2,3142,23,300,0.1,0.31,0.3
2023-01-08,C-44985,2,3143,23,300,0.1,0.55,0.19
2023-01-08,C-44985,2,3144,23,300,0.1,0.52,0.51
2023-01-08,C-44985,2,3145,23,300,0.1,1.36,1.09
2023-01-08,C-44985,2,4874,23,3,0.1,1.73,1.43
2023-01-08,C-44985,2,5278,23,5,0.1,35.8,18.11
2023-01-08,C-44986,5,2205,16,14,0,29.53,24.04
2023-01-08,C-44987,5,1359,44,10,0,67.7,52.6
2023-01-08,C-44987,5,3235,44,1,0,209.78,110.77
2023-01-08,C-44987,5,3236,44,1,0,209.78,110.77
2023-01-08,C-44987,5,3236,44,1,0,209.78,110.77
2023-01-08,A-44987,11,2688,37,1,0,248,183.7
2023-01-08,A-44987,11,2688,37,1,0,70,51.85
2023-01-08,A-44987,11,2688,37,2,0,91.61,67.86
2023-01-08,A-44987,11,2688,37,4,0,5.72,4.24
2023-01-08,A-44987,11,2688,37,4,0,5.72,4.24
2023-01-08,C-44988,5,44,46,1,0,10800.62,9418.72
2023-01-08,C-44988,5,2688,46,1,0,7842.25,5809.07
2023-01-08,C-44988,5,2688,46,1,0,1952.63,1446.39
2023-01-08,C-44988,5,2688,46,1,0,205.12,151.94
2023-01-08,C-44988,5,3155,46,100,0,0.22,0.15
2023-01-08,C-44988,5,3159,46,100,0,0.27,0.16
2023-01-08,C-44988,5,4099,46,6,0,228.36,182.69
2023-01-08,C-44988,5,4101,46,6,0,95,76
2023-01-08,C-44988,5,5291,46,15,0,62.25,49.8
2023-01-08,C-44988,5,5291,46,5,0,62.25,49.8
2023-01-08,C-44989,5,748,46,3,0,95.21,76.17
2023-01-08,C-44989,5,3138,46,600,0,0.29,0.23
2023-01-08,C-44989,5,4305,46,2,0,1064.12,1001.2
2023-01-08,C-44989,5,4679,46,1,0,108.15,86.52
2023-01-08,C-44989,5,2688,44,1,0,1080,800
2023-01-08,C-44990,5,727,46,6,0,2143.53,1226.4
2023-01-08,C-44990,5,1905,46,1,0,10.25,9.06
2023-01-08,C-44990,5,1905,46,4,0,10.25,9.06
2023-01-08,C-44990,20,620,29,100,0,105.85,85.05
2023-01-08,C-44991,5,259,46,100,0,27.13,21.71
2023-01-08,C-44991,5,3136,46,1200,0,0.24,0.11
2023-01-08,C-44991,5,3138,46,1100,0,0.29,0.23
2023-01-08,C-44991,5,3138,46,900,0,0.36,0.23
2023-01-08,C-44991,5,3140,46,1100,0,0.58,0.37
2023-01-08,C-44991,5,3140,46,2000,0,0.78,0.37
2023-01-08,C-44991,5,3615,46,1,0,88.92,85.81
2023-01-08,C-44992,5,2343,46,2,0,651.44,582.12
2023-01-08,C-44992,5,4115,46,1,0,978.97,724.04
2023-01-08,C-44993,3,3899,56,1,0,241.29,138.47
2023-01-08,C-44995,5,732,46,1,0,2791.66,1950.3
2023-01-08,C-44995,5,3145,46,300,0,1.25,1.09
2023-01-08,C-44995,5,3188,46,6,0,258.4,172.18
2023-01-08,C-44995,5,3307,46,1,0,408.09,333.87
2023-01-08,C-44995,5,4106,46,3,0,233.75,233.22
2023-01-08,C-44995,5,4113,46,1,0,334.65,267.72
2023-01-08,C-44995,5,5450,46,100,0,224.14,155.68
2023-01-08,C-44996,5,3140,46,1300,0,0.58,0.37
2023-01-08,C-44997,5,4259,44,1,0,3010.27,2581.43
2023-01-08,A-44997,14,3857,15,4,0,1019.39,815.51
2023-01-08,C-44997,20,5305,9,2,0.07,146.74,126.22
2023-01-08,C-44997,2,5,23,10,0,13.21,10.57
2023-01-08,C-44997,2,259,23,20,0,27.14,21.71
2023-01-08,C-44997,2,1955,23,10,0,4.67,4.29
2023-01-08,C-44998,5,3136,46,500,0,0.21,0.11
2023-01-08,C-44998,5,3136,46,1000,0,0.21,0.11
2023-01-08,C-44998,5,3307,46,1,0,408.09,333.87
2023-01-08,C-44998,5,3312,46,2,0,549.59,404.83
2023-01-08,C-44998,5,3999,46,1,0,100.5,84.96
2023-01-08,C-44999,21,2193,43,6,0,645.25,477.96
2023-01-08,C-44999,3,3887,56,1,0,393.8,125.55
2023-01-08,C-44999,5,120,46,4,0,47.33,37.87
2023-01-08,C-44999,5,3138,46,600,0,0.29,0.23
2023-01-08,C-44999,5,3140,46,1000,0,0.58,0.37
2023-01-08,C-45000,3,3652,56,1,0,22.81,18.36
2023-01-08,C-45000,3,3887,56,1,0,196.9,125.55
2023-01-08,C-45000,5,2688,44,1,0,1080,800
2023-01-08,C-45001,2,1934,23,2,0.1,23.13,20.56
2023-01-08,C-45001,2,4845,23,40,0.1,0.42,0.37
2023-01-08,A-45002,8,2978,57,1,0.07,113.46,105.7
2023-01-08,C-45002,5,13,46,5,0,51.54,41.23
2023-01-08,C-45002,5,751,46,3,0,83.55,63.52
2023-01-08,C-45002,5,771,46,4,0,107.21,106.1
2023-01-08,C-45002,5,1892,46,1,0,9.61,7.69
2023-01-08,C-45002,5,2688,46,100,0,26.2,19.41
2023-01-08,C-45002,5,3002,46,1,0,656.89,189.55
2023-01-08,C-45002,5,3140,46,1300,0,0.78,0.37
2023-01-08,C-45002,5,3312,46,2,0,549.59,404.83
2023-01-08,C-45002,5,3323,46,1,0,803.66,642.93
2023-01-08,C-45002,5,3625,46,1,0,62.5,38.69
2023-01-08,C-45002,5,3634,46,1,0,37.99,20.72
2023-01-09,C-45002,2,1957,23,2,0,22.5,18
2023-01-09,C-45002,2,5131,23,1,0,384.56,307.65
2023-01-09,C-45002,2,5131,23,1,0,472.11,409.39
2023-01-09,C-45004,5,119,46,3,0,35.59,23.06
2023-01-09,C-45004,5,879,46,15,0,25.5,16
2023-01-09,C-45004,5,891,46,3,0,223.71,203.7
2023-01-09,C-45004,5,947,46,8,0,533.75,432.24
2023-01-09,C-45004,5,3343,46,1,0,3572.3,2398.07
2023-01-09,C-45004,3,5,26,10,0.11,11.74,10.57
2023-01-09,C-45004,3,247,26,70,0.1,19.35,16.99
2023-01-09,C-45004,3,770,26,26,0.1,125.73,68.5
2023-01-09,C-45004,3,1892,26,53,0.1,8.05,7.62
2023-01-09,C-45004,3,1933,26,14,0.1,22.39,19.9
2023-01-09,C-45004,3,1956,26,53,0.1,3.71,3.3
2023-01-09,C-45004,3,3138,26,300,0.1,0.31,0.23
2023-01-09,C-45005,5,13,46,20,0,51.54,41.23
2023-01-09,C-45005,5,891,46,1,0,223.71,203.7
2023-01-09,C-45005,5,1354,46,11,0,4.5,3.55
2023-01-09,C-45005,5,1892,46,1,0,9.61,7.69
2023-01-09,C-45005,5,2202,46,8,0,16.02,10.2
2023-01-09,C-45005,5,2202,46,2,0,16.02,10.2
2023-01-09,C-45005,5,2202,46,6,0,16.02,10.2
2023-01-09,C-45005,5,3136,46,300,0,0.21,0.11
2023-01-09,C-45005,5,3140,46,1200,0,0.58,0.37
2023-01-09,C-45005,5,4256,46,1,0,1161.73,929.38
2023-01-09,C-45005,5,4411,46,7,0,5207.46,4091.57
2023-01-09,C-45005,5,4471,46,1,0,8651.16,6797.33
2023-01-09,C-45005,5,4844,46,100,0,0.91,0.52
2023-01-09,C-45005,5,4852,46,10,0,0.96,0.72
2023-01-09,C-45005,5,5598,46,300,0,107.72,80.15
2023-01-09,C-45005,2,184,21,1,0,30172.41,22349.93
2023-01-09,C-45006,5,2480,46,1,0,218572.65,174858.12
2023-01-09,C-45006,5,3159,46,234,0,0.27,0.24
2023-01-09,C-45006,5,4471,46,9,0,8651.16,6797.33
2023-01-09,C-45007,21,3026,32,1,0,2100,1904.55
2023-01-09,C-45008,21,2930,32,1,0,281.25,200.75
2023-01-09,C-45010,21,2688,55,1,0,11205.3,8300.22
2023-01-09,B-45010,9,5,66,50,0.1,11.71,10.57
2023-01-09,B-45010,9,1521,66,200,0.1,6.69,5.95
2023-01-09,B-45010,9,1521,66,200,0.1,6.69,5.95
2023-01-09,B-45010,9,1522,66,500,0.1,6.69,5.95
2023-01-09,B-45010,9,1524,66,500,0.1,6.69,5.95
2023-01-09,B-45010,9,1528,66,500,0.1,6.69,5.95
2023-01-09,B-45010,9,1539,66,300,0.1,4.3,3.82
2023-01-09,B-45010,9,1542,66,300,0.1,4.3,3.82
2023-01-09,B-45010,9,1564,66,300,0.1,2.95,2.63
2023-01-09,B-45010,9,4823,66,1,0.1,16.78,16.2
2023-01-09,B-45010,16,4465,49,1,0,8440.01,7234.45
2023-01-09,B-45010,16,4495,49,1,0,18510.94,14808.75
2023-01-09,C-45010,5,188,46,6,0,4.4,2.79
2023-01-09,C-45010,5,2340,46,2,0,129.8,91.15
2023-01-09,C-45010,5,3136,46,1500,0,0.24,0.11
2023-01-09,C-45010,5,3138,46,1500,0,0.36,0.23
2023-01-09,C-45010,5,3140,46,3000,0,0.78,0.37
2023-01-09,C-45010,5,1997,44,22,0,830.4,580.32
2023-01-09,C-45011,21,1733,43,500,0,3.04,1.96
2023-01-09,C-45011,21,3135,43,500,0,0.12,0.07
2023-01-09,C-45011,21,3138,43,500,0,0.34,0.23
2023-01-09,C-45011,21,3139,43,500,0,0.41,0.25
2023-01-09,C-45011,5,136,46,10,0,34.5,27.6
2023-01-09,C-45011,5,5450,46,100,0,187.2,155.68
2023-01-09,C-45011,2,1227,23,2,0.1,145.43,129.27
2023-01-09,C-45011,2,4933,23,1,0.1,461.56,410.27
2023-01-09,B-45012,16,1299,59,20,0,15,10.98
2023-01-09,C-45012,21,3867,32,6,0,567.54,530.42
2023-01-09,C-45012,21,5693,32,1,0,1250,942.4
2023-01-09,C-45012,5,67,46,4,0,35,32.03
